file_name,visualization_path,ocr_text,ocr_after_correction,true_label,predicted_label,regex_used,classifier_results_json,matches,matched_words,matched_categories
./images\alcohol\0091a.jpg,./results/without_visual_correction\alcohol_0091a_ocr.png,"ca, try, offerbacardi try, offerbacardi","ca, try, offerbacardi try, offerbacardi",alcohol,alcohol,False,"{'prediction': 'alcohol', 'matches': [{'word': 'bacardi', 'category': 'brands'}, {'word': 'bacardi', 'category': 'brands'}], 'matched_words': 'bacardi,bacardi', 'matched_categories': 'brands'}","[{""word"": ""bacardi"", ""category"": ""brands""}, {""word"": ""bacardi"", ""category"": ""brands""}]","bacardi,bacardi",brands
./images\non_alcohol\0110na.jpg,./results/without_visual_correction\non_alcohol_0110na_ocr.png, , ,non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [], 'matched_words': '', 'matched_categories': ''}",[],,
./images\alcohol\0122a.jpg,./results/without_visual_correction\alcohol_0122a_ocr.png,"get, ready for offer heineken get, readyfor offer heineken","get, ready for offer heineken get, readyfor offer heineken",alcohol,alcohol,False,"{'prediction': 'alcohol', 'matches': [{'word': 'heineken', 'category': 'brands'}, {'word': 'heineken', 'category': 'brands'}], 'matched_words': 'heineken,heineken', 'matched_categories': 'brands'}","[{""word"": ""heineken"", ""category"": ""brands""}, {""word"": ""heineken"", ""category"": ""brands""}]","heineken,heineken",brands
./images\alcohol\0269a.jpg,./results/without_visual_correction\alcohol_0269a_ocr.png,"m, gttogniwigisggedtoome ","m, gttogniwigisggedtoome ",alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\non_alcohol\0169na.jpg,./results/without_visual_correction\non_alcohol_0169na_ocr.png,check ceiebration matcha reserve,check ceiebration matcha reserve,non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\alcohol\3040a.jpg,./results/without_visual_correction\alcohol_3040a_ocr.png,"workplace, heinekencheck workplace, heineken check","workplace, heinekencheck workplace, heineken check",alcohol,alcohol,False,"{'prediction': 'alcohol', 'matches': [{'word': 'heineken', 'category': 'brands'}, {'word': 'heineken', 'category': 'brands'}], 'matched_words': 'heineken,heineken', 'matched_categories': 'brands'}","[{""word"": ""heineken"", ""category"": ""brands""}, {""word"": ""heineken"", ""category"": ""brands""}]","heineken,heineken",brands
./images\alcohol\0459a.jpg,./results/without_visual_correction\alcohol_0459a_ocr.png,"guinness, offer io, guinness, offer","guinness, offer io, guinness, offer",alcohol,alcohol,False,"{'prediction': 'alcohol', 'matches': [{'word': 'guinness', 'category': 'brands'}, {'word': 'guinness', 'category': 'brands'}], 'matched_words': 'guinness,guinness', 'matched_categories': 'brands'}","[{""word"": ""guinness"", ""category"": ""brands""}, {""word"": ""guinness"", ""category"": ""brands""}]","guinness,guinness",brands
./images\non_alcohol\3034na.jpg,./results/without_visual_correction\non_alcohol_3034na_ocr.png, , ,non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [], 'matched_words': '', 'matched_categories': ''}",[],,
./images\non_alcohol\0047na.jpg,./results/without_visual_correction\non_alcohol_0047na_ocr.png,"noisibgbgjimiiigd zaim t'noa, eiosorbjon noipibgbgjimiiigdzzimtnod","noisibgbgjimiiigd zaim t'noa, eiosorbjon noipibgbgjimiiigdzzimtnod",non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\non_alcohol\0059na.jpg,./results/without_visual_correction\non_alcohol_0059na_ocr.png,"gti jtdpin unem, xnib yeiene etijtrpin unem","gti jtdpin unem, xnib yeiene etijtrpin unem",non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
